City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
79,omboue,GA,2021-11-29 22:00:16,-1.5746,9.2618,77.41,90,100,5.86,moderate rain,0.0,0
80,narrabri,AU,2021-11-29 22:00:18,-30.3167,149.7833,71.53,86,100,3.15,moderate rain,0.0,0
81,hovd,MN,2021-11-29 22:00:19,48.0056,91.6419,15.22,47,0,0.69,clear sky,0.0,0
82,katsuura,JP,2021-11-29 22:00:19,35.1333,140.3,42.91,75,56,12.17,broken clouds,0.0,0
83,bose,IT,2021-11-29 22:00:20,45.4612,8.0137,37.08,44,0,7.34,clear sky,0.0,0
84,saldanha,ZA,2021-11-29 22:00:22,-33.0117,17.9442,61.48,85,34,4.47,scattered clouds,0.0,0
85,xingyi,CN,2021-11-29 22:00:23,24.1877,102.817,45.19,94,99,5.73,overcast clouds,0.0,0
86,chokurdakh,RU,2021-11-29 22:00:23,70.6333,147.9167,-13.18,99,100,3.56,overcast clouds,0.0,0
87,sungai padi,TH,2021-11-29 22:00:24,6.0851,101.8766,73.13,94,100,2.86,overcast clouds,0.0,0
88,the valley,AI,2021-11-29 22:00:25,18.217,-63.0578,82.54,78,40,10.36,scattered clouds,0.0,0
89,bluff,NZ,2021-11-29 22:00:25,-46.6,168.3333,56.8,76,100,7.72,overcast clouds,0.0,0
90,new norfolk,AU,2021-11-29 22:00:26,-42.7826,147.0587,67.66,60,22,3.36,few clouds,0.0,0
91,basco,PH,2021-11-29 22:00:27,20.4487,121.9702,75.54,84,100,28.43,overcast clouds,0.0,0
92,dubbo,AU,2021-11-29 22:00:27,-32.25,148.6167,64.53,88,75,12.66,broken clouds,0.0,0
93,kharan,PK,2021-11-29 22:00:28,28.5833,65.4167,60.39,26,30,3.02,scattered clouds,0.0,0
94,whitehorse,CA,2021-11-29 22:00:28,60.7161,-135.0538,10.09,94,100,2.75,overcast clouds,0.0,0
95,khatanga,RU,2021-11-29 22:00:29,71.9667,102.5,-29.67,100,97,4.59,overcast clouds,0.0,0
96,tasiilaq,GL,2021-11-29 22:00:29,65.6145,-37.6368,24.96,94,100,10.0,light snow,0.0,0
97,nouadhibou,MR,2021-11-29 22:00:31,20.931,-17.0347,66.25,69,72,23.13,broken clouds,0.0,0
98,bethel,US,2021-11-29 21:59:11,41.3712,-73.414,38.48,72,58,1.99,broken clouds,0.0,0
99,mogadishu,SO,2021-11-29 22:00:32,2.0371,45.3438,80.78,81,18,15.61,light rain,0.0,0
100,sompeta,IN,2021-11-29 22:00:33,18.9333,84.6,70.29,56,8,5.64,clear sky,0.0,0
101,upernavik,GL,2021-11-29 22:00:34,72.7868,-56.1549,21.69,95,100,5.01,light snow,0.0,0
102,cherskiy,RU,2021-11-29 21:59:20,68.75,161.3,-15.45,98,100,5.75,overcast clouds,0.0,0
103,kodiak,US,2021-11-29 21:56:53,57.79,-152.4072,35.87,99,100,24.34,light rain,0.0,0
104,barrow,US,2021-11-29 22:00:01,71.2906,-156.7887,-18.38,76,40,8.05,scattered clouds,0.0,0
105,talbahat,IN,2021-11-29 22:00:37,25.05,78.4333,60.64,55,83,1.36,broken clouds,0.0,0
106,nishihara,JP,2021-11-29 22:00:31,26.1842,127.7558,70.88,78,75,10.36,broken clouds,0.0,0
107,genhe,CN,2021-11-29 22:00:38,50.7833,121.5167,-1.37,100,100,1.92,overcast clouds,0.0,0
108,houma,US,2021-11-29 21:59:51,29.5958,-90.7195,66.99,50,0,4.0,clear sky,0.0,0
109,magadan,RU,2021-11-29 22:00:39,59.5667,150.8,2.93,90,100,7.94,overcast clouds,0.0,0
110,kirakira,SB,2021-11-29 22:00:40,-10.4544,161.9205,84.43,72,76,6.62,broken clouds,0.0,0
111,hami,CN,2021-11-29 22:00:41,42.8,93.45,22.98,59,4,1.28,clear sky,0.0,0
112,nuuk,GL,2021-11-29 22:00:10,64.1835,-51.7216,36.88,74,100,10.0,light rain,0.0,0
113,matagami,CA,2021-11-29 21:56:58,49.7502,-77.6328,19.51,100,90,0.0,light snow,0.0,0
114,georgetown,MY,2021-11-29 22:00:42,5.4112,100.3354,75.13,98,40,0.0,heavy intensity rain,0.0,0
115,carnarvon,AU,2021-11-29 22:00:43,-24.8667,113.6333,69.73,76,0,21.05,clear sky,0.0,0
116,cabo san lucas,MX,2021-11-29 22:00:02,22.8909,-109.9124,84.51,63,100,5.01,overcast clouds,0.0,0
117,talnakh,RU,2021-11-29 22:00:44,69.4865,88.3972,-11.79,96,99,5.91,overcast clouds,0.0,0
118,srinivaspur,IN,2021-11-29 22:00:45,13.3333,78.2167,69.01,93,96,7.54,overcast clouds,0.0,0
119,kishapu,TZ,2021-11-29 22:00:47,-3.6167,33.8667,76.01,55,90,5.55,overcast clouds,0.0,0
